at,x,y,z
C,   -3.8146934780,    0.0999343795,    0.0000000000
O,   -2.7442600812,    2.1611548917,    0.0000000000
N,   -2.6602995555,   -2.1589817068,    0.0000000000
H,   -3.7125481191,   -3.7360563104,    0.0000000000
H,   -0.7317850509,   -2.2823770344,    0.0000000000
H,   -5.8903911810,   -0.0258911358,    0.0000000000
C,    3.8146934780,   -0.0999343795,    0.0000000000
O,    2.7442600812,   -2.1611548917,    0.0000000000
N,    2.6602995555,    2.1589817068,    0.0000000000
H,    3.7125481191,    3.7360563104,    0.0000000000
H,    0.7317850509,    2.2823770344,    0.0000000000
H,    5.8903911810,    0.0258911358,    0.0000000000
